X,Y,Z
0.1926925778388977,0.2716018557548523,1.2015478610992432
-0.43977755308151245,-0.12895864248275757,1.1921350955963135
-0.8317564129829407,0.40717294812202454,0.666347324848175
0.09225933253765106,-0.573759913444519,1.036813497543335
0.08887150883674622,-0.38381054997444153,0.9327844381332397
0.1487046778202057,-0.2651485800743103,1.3863455057144165
-0.056794509291648865,-0.6006972789764404,1.1625957489013672
-0.5136911869049072,0.7514564990997314,0.7098900079727173
-0.10791394114494324,0.6293153762817383,1.1523858308792114
-0.6954736709594727,0.465705543756485,0.48825204372406006
0.08867256343364716,0.0893523246049881,0.8812851905822754
-0.005101755261421204,0.47656258940696716,1.0404129028320312
-0.3566352427005768,-0.14985297620296478,1.5510162115097046
0.26133519411087036,0.34830886125564575,1.268061637878418
0.04493498057126999,0.5468240976333618,1.2491405010223389
-0.057258665561676025,-0.23738494515419006,1.1428385972976685
-0.2975984215736389,0.6429007053375244,0.7086951732635498
-0.25116899609565735,-0.13323546946048737,1.5647716522216797
-0.4717038571834564,0.5097141861915588,0.9832529425621033
-0.5977327227592468,0.3545058071613312,1.0075548887252808
-0.29260754585266113,0.4267149269580841,1.161984920501709
-0.14406344294548035,-0.13867248594760895,1.5781339406967163
-0.14547231793403625,0.19351668655872345,1.5619378089904785
-0.22836819291114807,0.7211266160011292,1.0994653701782227
-0.4540615677833557,-0.09895484894514084,1.3948653936386108
-0.23812702298164368,0.43927663564682007,1.0122780799865723
-0.03726879507303238,-0.08625975251197815,0.8692455887794495
-0.026348808780312538,0.20213435590267181,1.5461585521697998
0.07578777521848679,-0.46133100986480713,0.9213436245918274
0.11397644132375717,-0.2171206772327423,0.917762279510498
0.1575237363576889,-0.2690586447715759,0.908846378326416
-0.6323133707046509,0.5502732992172241,0.9607076048851013
-0.12682445347309113,-0.5212904214859009,1.2006356716156006
-0.4281611740589142,-0.34417498111724854,1.1390650272369385
-0.7351588606834412,0.11018738150596619,0.899348795413971
-0.608191192150116,0.032939501106739044,0.8501197099685669
-0.5333611965179443,0.062041133642196655,1.4868956804275513
0.21115538477897644,0.32618778944015503,1.2131234407424927
0.31208205223083496,-0.18305908143520355,0.957952618598938
-0.13720044493675232,-0.3032890558242798,1.3912453651428223
-0.025011196732521057,0.11998511850833893,1.2919148206710815
-0.6263464093208313,-0.19979432225227356,1.227982997894287
-0.5594635605812073,-0.32033729553222656,1.0702488422393799
-0.5585178732872009,0.532935380935669,1.2238471508026123
-0.619918167591095,-0.3000585436820984,0.7484437227249146
-0.10468363761901855,0.05619882419705391,1.5735794305801392
-0.5625576972961426,0.5298906564712524,1.0415509939193726
0.047264084219932556,0.24452248215675354,0.938853919506073
-0.8715445399284363,-0.0634865090250969,1.1960194110870361
-0.05680091679096222,-0.6118960380554199,1.2247400283813477
-0.7402195334434509,-0.27654656767845154,0.7070850133895874
0.09552246332168579,-0.3722074627876282,1.0064713954925537
0.15783527493476868,-0.4166001081466675,0.9723243713378906
-0.14979557693004608,0.3801118731498718,1.0571262836456299
-0.7754155397415161,-0.0636855810880661,1.2104237079620361
-0.2978256046772003,0.6266828179359436,1.1183292865753174
-0.5674725770950317,-0.2536405920982361,1.2185423374176025
0.12745913863182068,-0.13189414143562317,0.8557937741279602
0.168429434299469,0.19147232174873352,1.4812901020050049
-0.5869492292404175,-0.2087562382221222,0.7120931148529053
-0.036411404609680176,-0.22340334951877594,1.1482524871826172
0.1610669493675232,-0.23872165381908417,1.4695864915847778
